occupation_level4_number,occupation_level4,n_sickcase_per1000,n_sickcase_per1000_f,n_sickcase_per1000_m,avg_sickdays,avg_sickdays_f,avg_sickdays_m,n_emp,n_emp_f,n_emp_m,stw_pay_quota_2014,stw_pay_quota_2015,stw_pay_quota_2016,stw_pay_quota_2017,stw_pay_quota_2018,uw_pay_quota_2014,uw_pay_quota_2015,uw_pay_quota_2016,uw_pay_quota_2017,uw_pay_quota_2018
4115,4115 -  Inköps- och orderassistenter,70.2,81.2,48.8,6.4,7.3,4.5,7307,4829,2478,90,91,88,..,91,91,89,92,99,90
5223,"5223 -  Butikssäljare, fackhandel",86.8,105.5,56.8,8.3,10.2,5.3,89068,54800,34268,93,92,94,97,96,92,92,92,96,95
5412,5412 -  Kriminalvårdare,121.3,157,99.7,12,16.9,9,7401,2796,4605,98,98,98,98,98,98,98,97,97,97
9210,9210 -  Bärplockare och plantörer m.fl.,79.9,104.6,66.1,8.3,11.5,6.6,2617,937,1680,..,..,..,..,..,109,101,97,90,98
1230,1230 -  Förvaltnings- och planeringschefer,39.2,62.3,25.2,4,6,2.8,9906,3722,6184,93,92,87,89,89,96,93,83,86,89
1522,"1522 -  Enhetschefer inom socialt och kurativt arbete, nivå 2",96.5,107.1,68.9,8.2,8.8,6.7,3720,2689,1031,101,100,102,101,100,102,101,104,105,102
2226,2226 -  Ambulanssjuksköterskor m.fl.,102,157.6,63.3,7.1,11,4.4,2519,1034,1485,99,100,99,99,98,99,100,98,98,97
2260,2260 -  Tandläkare,114.9,145.9,60.7,9.4,11.5,5.7,5307,3378,1929,96,94,91,..,95,97,94,91,94,93
2311,2311 -  Professorer,34.4,51.6,24.2,3.6,5.3,2.5,6256,2325,3931,91,92,91,97,98,87,86,90,97,98
2359,2359 -  Övriga pedagoger med teoretisk specialistkompetens,91.4,113.1,56.3,8.5,10.6,5.1,17088,10554,6534,98,99,99,100,99,97,99,100,101,100
2411,2411 -  Revisorer m.fl.,52,69.7,26.8,4.9,6.6,2.6,11131,6542,4589,95,92,92,89,91,92,89,89,86,90
3412,3412 -  Pastorer m.fl.,73.8,106.7,56,7.2,10.2,5.5,854,300,554,..,..,..,..,..,..,..,..,..,..
4222,4222 -  Kundtjänstpersonal,95.1,117.3,62.4,9.1,11.9,5,23008,13672,9336,92,97,97,97,95,93,100,102,101,98
8141,"8141 -  Maskinoperatörer, gummiindustri",122,164.6,104.8,10.4,12.9,9.4,1968,565,1403,94,99,..,94,97,94,100,89,94,97
2284,2284 -  Optiker,85.3,105.1,34.4,9.9,11,7.2,1559,1123,436,..,..,..,..,..,119,83,..,91,103
2654,"2654 -  Regissörer och producenter av film, teater m.m.",52.7,92.8,23.7,5.4,8.6,3,1385,582,803,..,..,..,..,..,116,112,101,103,101
3154,3154 -  Flygledare,55.6,81.6,37.3,3.2,5.1,1.8,684,282,402,100,..,98,98,97,105,..,97,101,101
3333,3333 -  Arbetsförmedlare,133.3,157.4,87.9,15.6,19,9.2,16222,10590,5632,101,101,100,102,101,100,100,100,103,101
3335,3335 -  Fastighetsförvaltare,61.7,86,49,6.4,9.4,4.8,4719,1617,3102,98,91,96,94,..,96,90,93,94,89
4221,4221 -  Resesäljare och trafikassistenter m.fl.,101,110.3,75.2,8.5,9.2,6.6,6625,4869,1756,92,95,97,99,96,92,94,98,99,96
5132,5132 -  Bartendrar,69.4,101.3,53.4,5,7.3,3.9,2695,898,1797,..,..,..,..,..,92,102,100,93,93
5312,5312 -  Elevassistenter m.fl.,128.9,161.3,78.4,11.5,15,6.1,30741,18752,11989,100,100,100,100,100,102,103,103,103,102
5349,5349 -  Övrig vård- och omsorgspersonal,104.5,126.7,57,11.9,13.9,7.6,10825,7371,3454,..,100,97,99,100,103,103,98,100,102
7321,7321 -  Prepresstekniker,72.3,84,64.7,5.1,7.9,3.3,1550,607,943,..,..,91,94,..,93,94,89,93,92
8169,8169 -  Övriga maskinoperatörer inom livsmedelsindustri m.m.,117.8,161.4,95.5,9.5,14.1,7.2,4355,1475,2880,..,96,98,99,100,92,97,99,99,100
9622,9622 -  Vaktmästare m.fl.,95.8,117.5,90.2,9.9,10.6,9.7,6533,1345,5188,..,97,..,96,98,84,95,98,96,93
1332,"1332 -  Forsknings- och utvecklingschefer, nivå 2",34.9,53.8,27,2.9,4.1,2.3,3264,967,2297,91,..,94,99,93,89,96,93,104,93
1712,"1712 -  Hotell- och konferenschefer, nivå 2",66.2,79.8,43.3,8.2,10.6,4.2,801,501,300,..,..,..,..,..,..,..,..,..,..
